HYD-GROC-001: Get 10% off on groceries at Big Bazaar, Hyderabad.
HYD-GROC-002: Save ₹200 on your first order at Grofers, Hyderabad.
HYD-GROC-003: Flat 5% off on groceries at More Supermarket, Hyderabad.
HYD-GROC-004: Buy 1 Get 1 Free on select items at Ratnadeep, Hyderabad.
HYD-GROC-005: 15% off on organic products at Nature's Basket, Hyderabad.
HYD-ENT-001: 20% off on movie tickets at PVR Cinemas, Hyderabad.
HYD-ENT-002: Flat ₹100 off on amusement park tickets at Wonderla, Hyderabad.
HYD-ENT-003: Get 2 tickets for the price of 1 at Prasads IMAX, Hyderabad.
HYD-ENT-004: 10% off on concert tickets at Shilpakala Vedika, Hyderabad.
HYD-ENT-005: Save 15% on annual membership at Country Club, Hyderabad.
HYD-TRAN-001: ₹50 off on your first ride with Ola, Hyderabad.
HYD-TRAN-002: Flat 20% off on Uber rides in Hyderabad.
HYD-TRAN-003: Save ₹100 on your first Zoomcar booking, Hyderabad.
HYD-TRAN-004: Get 10% off on Rapido bike rides, Hyderabad.
HYD-TRAN-005: Flat ₹200 off on RedBus bookings, Hyderabad.
HYD-SHOP-001: 15% off on clothing at Lifestyle, Hyderabad.
HYD-SHOP-002: Save ₹500 on purchases above ₹3000 at Shoppers Stop, Hyderabad.
HYD-SHOP-003: Flat 10% off on electronics at Croma, Hyderabad.
HYD-SHOP-004: 5% cashback on fashion items at Central Mall, Hyderabad.
HYD-SHOP-005: Get ₹200 off on footwear at Bata, Hyderabad.
HYD-FOOD-001: 20% off on dine-in at Barbeque Nation, Hyderabad.
HYD-FOOD-002: Flat ₹150 off on Swiggy orders above ₹500, Hyderabad.
HYD-FOOD-003: Get 1 Free Pizza on purchase of 2 at Domino's, Hyderabad.
HYD-FOOD-004: 10% off on dine-in at Paradise Biryani, Hyderabad.
HYD-FOOD-005: Save ₹100 on orders above ₹400 at Zomato, Hyderabad.
HYD-CARE-001: 15% off on beauty services at Naturals, Hyderabad.
HYD-CARE-002: Save ₹200 on spa services at O2 Spa, Hyderabad.
HYD-CARE-003: Flat 10% off on haircuts at Lakme Salon, Hyderabad.
HYD-CARE-004: 5% off on grooming products at Health & Glow, Hyderabad.
HYD-CARE-005: Get ₹100 off on wellness packages at Four Fountains Spa, Hyderabad.
HYD-HEALTH-001: Save ₹300 on annual gym membership at Talwalkars, Hyderabad.
HYD-HEALTH-002: Flat 15% off on health checkups at Apollo Hospitals, Hyderabad.
HYD-HEALTH-003: Get 10% off on yoga classes at Art of Living, Hyderabad.
HYD-HEALTH-004: ₹200 off on first consultation at Cloudnine Hospitals, Hyderabad.
HYD-HEALTH-005: Save 10% on fitness equipment at Decathlon, Hyderabad.
